time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-07T09:04:46.723Z,-38.3299,176.0665,168.74,4.3,mb,,65,0.745,0.95,us,us6000g9zm,2022-02-12T23:06:21.040Z,"20 km ESE of Tokoroa, New Zealand",earthquake,6.1,5.6,0.133,17,reviewed,us,us
2021-12-07T09:50:41.663Z,-18.0378,-173.5857,35,4.3,mb,,219,4.456,0.6,us,us6000gb7p,2022-02-12T23:07:30.040Z,"79 km NNE of Neiafu, Tonga",earthquake,11.5,2,0.217,8,reviewed,us,us
2021-12-07T10:27:59.866Z,-9.9665,161.0827,166.47,5.4,mww,,25,1.236,0.55,us,us6000ga0c,2022-02-12T23:06:23.040Z,"106 km WNW of Kirakira, Solomon Islands",earthquake,8.6,4.6,0.083,14,reviewed,us,us
2021-12-07T14:10:58.922Z,-15.25,-174.3615,214.13,4.2,mb,,81,2.83,0.46,us,us6000gb7v,2022-02-12T23:07:31.040Z,"98 km NW of Hihifo, Tonga",earthquake,10.2,7.2,0.118,24,reviewed,us,us
2021-12-07T14:16:37.442Z,-20.128,-174.9918,106.24,4.5,mb,,126,6.904,0.48,us,us6000gb80,2022-02-12T23:07:31.040Z,"75 km WSW of Pangai, Tonga",earthquake,7.6,8.2,0.131,20,reviewed,us,us
2021-12-07T14:36:02.477Z,-17.1304,-178.8453,398.58,4.2,mb,,112,2.891,0.43,us,us6000gb7w,2022-02-12T23:07:31.040Z,"205 km ESE of Labasa, Fiji",earthquake,14.6,8.7,0.141,14,reviewed,us,us
2021-12-07T15:03:16.724Z,-28.3467,-176.3388,21.93,5.2,mww,,64,1.66,0.6,us,us6000ga2s,2022-02-12T23:06:24.040Z,"Kermadec Islands region",earthquake,9.5,4.4,0.066,22,reviewed,us,us
2021-12-07T16:51:34.763Z,-18.157,168.1676,38.38,4.9,mww,,74,2.848,0.76,us,us6000ga4b,2022-02-12T23:06:25.040Z,"49 km SSW of Port-Vila, Vanuatu",earthquake,7,5.3,0.089,12,reviewed,us,us
2021-12-07T16:55:54.822Z,-13.6772,167.0213,114.78,4.5,mb,,106,1.768,0.54,us,us6000gb7z,2022-02-12T23:07:31.040Z,"61 km WNW of Sola, Vanuatu",earthquake,11,11.6,0.222,8,reviewed,us,us
2021-12-08T07:27:04.054Z,-36.8845,179.6852,10,4.2,mb,,206,1.291,0.31,us,us6000gbx4,2022-02-12T23:07:36.040Z,"245 km NE of Gisborne, New Zealand",earthquake,6.6,2,0.198,7,reviewed,us,us
2021-12-08T08:22:43.708Z,-38.2097,178.9036,10,4.2,mb,,174,0.8,0.8,us,us6000gbx6,2022-02-12T23:07:36.040Z,"92 km ENE of Gisborne, New Zealand",earthquake,6.9,1.9,0.303,3,reviewed,us,us
2021-12-08T08:50:37.341Z,-19.1189,-177.722,489.32,4.5,mb,,76,4.237,1.31,us,us6000gaex,2022-02-12T23:06:40.040Z,"Fiji region",earthquake,11.3,6.6,0.046,140,reviewed,us,us
2021-12-08T09:06:06.655Z,-20.8553,-178.4431,558.01,4.5,mb,,125,6.519,0.98,us,us6000gaf0,2022-02-12T23:06:40.040Z,"Fiji region",earthquake,12.7,9,0.068,64,reviewed,us,us
2021-12-08T10:26:50.323Z,-14.8824,166.9837,33.75,4.5,mb,,141,0.6,0.72,us,us6000gbxg,2022-02-12T23:07:37.040Z,"20 km NNW of Port-Olry, Vanuatu",earthquake,9.4,6.5,0.164,11,reviewed,us,us
2021-12-08T12:06:12.812Z,-17.7691,-178.312,509.91,4.4,mb,,121,3.446,0.51,us,us6000gafv,2022-02-12T23:06:43.040Z,"253 km E of Levuka, Fiji",earthquake,14.9,9.3,0.111,23,reviewed,us,us
2021-12-08T14:14:12.238Z,-23.9903,-179.5712,518.25,4.3,mb,,146,6.599,0.51,us,us6000gbxu,2022-02-12T23:07:38.040Z,"south of the Fiji Islands",earthquake,11.2,11.2,0.122,19,reviewed,us,us
2021-12-08T17:35:21.742Z,-24.7968,179.998,465.76,4.4,mb,,161,4.819,1.04,us,us6000gbxy,2022-02-12T23:07:39.040Z,"south of the Fiji Islands",earthquake,15.6,15.2,0.114,22,reviewed,us,us
2021-12-08T17:52:09.083Z,-31.3034,179.9926,389.28,4.2,mb,,134,2.72,0.95,us,us6000gby2,2022-02-12T23:07:40.040Z,"Kermadec Islands region",earthquake,12.2,7.8,0.304,5,reviewed,us,us
